objects,EMMA_lard,SupCon_lard,EMMA_lrd,SupCon_lrd,EMMA_ard,SupCon_ard,EMMA_lr,EMMA_ld,EMMA_ar,EMMA_ad,EMMA_la,EMMA_lar,EMMA_lad,SupCon_lr,SupCon_ld,SupCon_ar,SupCon_ad,SupCon_la,SupCon_lar,SupCon_lad
mouse,0.980555556,0.991666667,0.991666667,0.991666667,0.826944444,0.883888889,0.991666667,0.8125,0.816388889,0.676666667,0.839444444,0.991666667,0.817777778,0.975,0.902777778,0.887222222,0.823333333,0.958333333,0.963888889,0.915277778
notebook,0.877777778,0.891666667,0.911111111,0.9,0.65,0.686388889,0.958333333,0.834722222,0.689444444,0.630833333,0.891666667,0.877777778,0.744444444,0.925,0.803333333,0.738888889,0.611388889,0.845,0.905555556,0.701666667
onion,0.924375,0.921875,0.932916667,0.933541667,0.7925,0.818541667,0.91625,0.91625,0.784791667,0.785625,0.844166667,0.920208333,0.931041667,0.898333333,0.91625,0.761875,0.790833333,0.814791667,0.911458333,0.934583333
pencil,0.963888889,0.973611111,0.950694444,0.954861111,0.756527778,0.832777778,0.947916667,0.925694444,0.757777778,0.739027778,0.784166667,0.947222222,0.945138889,0.945833333,0.947222222,0.803055556,0.807361111,0.820694444,0.958333333,0.958333333
picture_frame,0.950238095,0.94702381,0.951190476,0.934404762,0.776666667,0.813214286,0.969047619,0.914285714,0.788809524,0.723452381,0.843690476,0.944285714,0.862738095,0.941071429,0.90202381,0.80202381,0.77952381,0.86797619,0.931547619,0.885357143
pill_cutter,0.586666667,0.725,0.504166667,0.658333333,0.57,0.639166667,0.369166667,0.554166667,0.564166667,0.530833333,0.593333333,0.525833333,0.620833333,0.5875,0.816666667,0.601666667,0.718333333,0.670833333,0.604166667,0.841666667
plate,0.995833333,0.9875,0.988194444,0.989583333,0.857777778,0.879305556,0.985,0.988888889,0.859166667,0.854583333,0.844027778,0.990277778,0.995833333,0.989166667,0.984027778,0.859166667,0.869166667,0.880416667,0.990277778,0.991666667
pliers,0.9075,0.8975,0.92,0.906666667,0.820333333,0.809833333,0.916666667,0.849166667,0.823666667,0.758166667,0.879166667,0.9025,0.840833333,0.895833333,0.816666667,0.812666667,0.766833333,0.879166667,0.905,0.828666667
potato,0.9625,0.968333333,0.976666667,0.978333333,0.824,0.837666667,0.965833333,0.978333333,0.8025,0.800166667,0.8525,0.968333333,0.9275,0.965333333,0.975,0.850666667,0.823333333,0.868666667,0.968333333,0.936666667
prescription_medicine_bottle,0.975,0.975,0.968125,0.984375,0.815625,0.843333333,0.96875,0.96875,0.800625,0.811458333,0.855,0.95625,0.98125,0.979166667,0.979166667,0.843333333,0.828333333,0.827916667,0.9625,0.9875
