Method,speech/depth,speech/RGB,text/depth,text/RGB,text/speech/\\depth,text/speech/\\RGB,speech/RGB/\\depth,text/RGB/\\Depth,all
SupCon,63.54$\pm$1.25,65.9$\pm$1.03,62.79$\pm$2.45,64.68$\pm$1.75,72.92$\pm$1.65,76.15$\pm$1.15,68.14$\pm$0.89,67.26$\pm$1.5,78.69$\pm$0.9
EMMA,62.65$\pm$0.71,64.62$\pm$1.22,64.27$\pm$1.71,66.09$\pm$1.76,73.73$\pm$1.25,75.98$\pm$1.23,66.73$\pm$0.87,69.09$\pm$1.3,78.89$\pm$0.9
