Method,speech/depth,speech/RGB,text/depth,text/RGB,text/speech/\\depth,text/speech/\\RGB,speech/RGB/\\depth,text/RGB/\\Depth,all
SupCon,77.78$\pm$0.78,79.34$\pm$0.66,77.07$\pm$1.39,78.27$\pm$1.17,84.03$\pm$0.96,86.01$\pm$0.73,80.83$\pm$0.52,80.04$\pm$0.87,87.69$\pm$0.49
EMMA,77.1$\pm$0.37,78.37$\pm$0.75,78.18$\pm$0.99,79.22$\pm$1.08,84.45$\pm$0.68,85.82$\pm$0.74,79.79$\pm$0.46,81.21$\pm$0.76,87.69$\pm$0.45
